,author,title
223,Лев Толстой,Воскресение
224,Борис Пастернак,Доктор Живаго
225,Гавриил Троепольский,Белый Бим Черное ухо
226,Михаил Булгаков,Морфий
227,Михаил Булгаков,"Рассказы, повесть"
228,Лев Толстой,Крейцерова соната: Повести
229,Федор Достоевский,Дневник писателя
230,Сергей Есенин,Исповедь хулигана
231,Николай Лесков,Леди Макбет Мценского уезда
232,Федор Тютчев,"Люблю глаза твои, мой друг"
233,Федор Тютчев,
234,Михаил Булгаков,Москва краснокаменная
235,Михаил Булгаков,"Рассказы, фельетоны 20-х годов"
236,Антон Чехов,Беседа пьяного с трезвым чертом
237,Иван Тургенев,Дворянское гнездо
238,Денис Фонвизин,Недоросль
239,Александр Куприн,Поединок
240,Александр Куприн,Повесть
241,Лев Толстой,Казаки
242,Антон Макаренко,Педагогическая поэма
243,Антон Чехов,Малое собрание сочинений
244,Александр Пушкин,Малое собрание сочинений
245,Федор Достоевский,Записки из Мертвого дома
246,Борис Пастернак,Малое собрание сочинений
247,Антон Чехов,Дачное удовольствие
248,Александр Солженицын,Архипелаг ГУЛАГ
249,Александр Солженицын,1918-1956
250,Александр Солженицын,Опыт художественного исследования
251,Александр Солженицын,Комплект из 3-х книг
252,Александр Грин,Блистающий мир
253,Александр Грин,Золотая цепь
254,Алексей Толстой,Князь Серебряный
255,Даниил Хармс,Случаи и Вещи
256,Федор Сологуб,Мелкий бес
257,Юрий Бондарев,Горячий снег
258,Николай Лесков,Левша
259,Максим Горький,Песня о Соколе
260,Аркадий Аверченко,Малое собрание сочинений
261,Константин Симонов,Двадцать дней без войны
262,Алексей Толстой,Петр Первый
263,Александр Солженицын,В круге первом
264,Фазиль Искандер,Сандро из Чегема
265,Константин Паустовский,Золотая роза
266,Александр Солженицын,Абрикосовое варенье
267,Венедикт Ерофеев,Записки психопата
268,Максим Горький,Мать
269,Вадим Кожевников,Щит и меч
270,Валентин Распутин,Прощание с Матёрой
271,Корней Чуковский,От двух до пяти
272,Антон Чехов,Пассажир первого класса
273,Михаил Шолохов,Донские рассказы
274,Борис Васильев,Не стреляйте белых лебедей
275,Михаил Шолохов,Поднятая целина
276,Андрей Белый,Петербург
277,Арчибалд Кронин,Испанский садовник
278,Арчибалд Кронин,Древо Иуды
279,Луиза Олкотт,Маленькие мужчины становятся взрослыми
280,Эмили Бронте,Грозовой перевал
281,Фрэнсис Фицджеральд,Великий Гэтсби
282,Аркадий Аверченко,Московское гостеприимство
283,Фазиль Искандер,Пиры Валтасара
284,Фазиль Искандер,Повести
285,Василий Розанов,Опавшие листья
286,Даниил Гранин,Иду на грозу
287,Михаил Булгаков,Записки на манжетах
288,Михаил Булгаков,Записки покойника
289,Федор Достоевский,Подросток
290,Михаил Шолохов,Малое собрание сочинений
291,Михаил Салтыков-Щедрин,Господа Головлевы
292,Валентин Катаев,Белеет парус одинокий
293,Чингиз Айтматов,"Пегий пес, бегущий краем моря"
294,Кир Булычев,Последняя война
295,Василий Ян,К последнему морю
296,Владимир Короленко,Дети подземелья
297,Михаил Зощенко,Перед восходом солнца
298,Лев Толстой,Том I-II
299,Лев Толстой,Том III-IV
300,Антон Чехов,Юмористические рассказы
301,Иван Бунин,Рассказы
302,Александр Куприн,Гранатовый браслет
303,Михаил Шолохов,Тихий Дон
304,Михаил Шолохов,Том I
305,Антон Чехов,Вишневый сад
306,Михаил Шолохов,Том II
307,Ивлин Во,Пригоршня праха
308,Ивлин Во,Мерзкая плоть
309,Ивлин Во,Упадок и разрушение
310,Александр Солженицын,Один день Ивана Денисовича
311,Александр Солженицын,Рассказы 60-х годов
312,Александр Пушкин,Избранная проза
313,Максим Горький,На дне
314,Максим Горький,Пьесы
315,Иван Тургенев,Первая любовь: Повести
316,Александр Солженицын,Раковый корпус
317,Федор Достоевский,Белые ночи
318,Николай Гоголь,Малое собрание сочинений
319,Антон Чехов,Дама с собачкой
320,Иван Тургенев,Отцы и дети
321,Александр Пушкин,Евгений Онегин
322,Николай Гоголь,"Повести, комедии"
323,Михаил Зощенко,Голубая книга
324,Варлам Шаламов,Колымские рассказы
325,Иван Гончаров,Обрыв
326,Андрей Платонов,Котлован
327,Михаил Шолохов,В 2-х томах
328,Михаил Шолохов,Комплект
329,Борис Васильев,А зори здесь тихие
330,Борис Васильев,
331,Даниил Андреев,Роза Мира
332,Михаил Шолохов,Судьба человека
333,Федор Достоевский,Бедные люди
334,Федор Достоевский,Вечный муж
335,Александр Радищев,Путешествие из Петербурга в Москву
336,Анатолий Рыбаков,Дети Арбата
337,Леонид Соловьев,Повесть о Ходже Насреддине
338,Юлиан Семенов,Семнадцать мгновений весны
339,Всеволод Крестовский,Петербургские трущобы
340,Всеволод Крестовский,В 2-х книгах
341,Надежда Тэффи,Трагедия счастья
342,Юрий Герман,Россия молодая
343,Юрий Герман,В 2-х томах
344,Вячеслав Шишков,В 2-х томах
345,Александр Пушкин,Маленькие трагедии
346,Александр Пушкин,Борис Годунов
347,Виктор Курочкин,На войне как на войне
348,Иван Тургенев,Песнь торжествующей любви
349,Вениамин Каверин,Двойной портрет
350,Вениамин Каверин,Наука расставания
351,Роберт Штильмарк,Наследник из Калькутты
352,Евгений Шварц,Обыкновенное чудо и другие пьесы
353,Аркадий Аверченко,Дюжина ножей в спину революции
354,Аркадий Аверченко,"Рассказы, фельетоны"
355,Василий Шукшин,Выбираю деревню на жительство
356,Рувим Фраерман,"Дикая собака динго, или Повесть о первой любви"
357,Евгений Замятин,Рассказ о самом главном
358,Алексей Черкасов,Хмель
359,Алексей Черкасов,Сказания о людях тайги
360,Максим Горький,Жизнь Клима Самгина
361,Максим Горький,Комплект из 3-х книг
362,Даниил Хармс,О явлениях и существованиях
363,Владимир Войнович,Книга 2
364,Владимир Войнович,Лицо привлеченное
365,Владимир Войнович,Книга 1
366,Владимир Войнович,Лицо неприкосновенное
367,Владимир Войнович,Книга 3
368,Владимир Войнович,Перемещенное лицо
369,Сергей Покровский,Охотники на мамонтов
370,Сергей Покровский,Поселок на озере
371,Юлиан Семенов,Бриллианты для диктатуры пролетариата
372,Константин Симонов,Комплект из 3-х книг
373,Антон Чехов,"Умри, несчастная! Театральные рассказы"
374,Александр Беляев,Ариэль
375,Александр Беляев,Продавец воздуха
376,Василий Шукшин,Ваш сын и брат
377,Александр Беляев,Остров Погибших Кораблей
378,Владимир Арсеньев,Дерсу Узала
379,Ирина Одоевцева,Оставь надежду навсегда
380,Булат Окуджава,Путешествие дилетантов
381,Дмитрий Григорович,Гуттаперчевый мальчик
382,Дмитрий Григорович,Повести
383,Юрий Герман,Мой друг Иван Лапшин
384,Виктор Некрасов,В окопах Сталинграда
385,Александр Островский,Таланты и поклонники
386,Василий Шукшин,До третьих петухов
387,Иван Гончаров,Обломов
388,Андрей Платонов,Сокровенный человек
389,Чингиз Айтматов,Когда падают горы
390,Константин Воробьев,Убиты под Москвой
391,Иван Ефремов,На краю Ойкумены
392,Максим Горький,Дело Артамоновых
393,Иван Шмелев,Неупиваемая Чаша
394,Василий Ян,Огни на курганах
395,Олег Куваев,Правила бегства
396,Василий Гроссман,За правое дело
397,Вениамин Каверин,Открытая книга
398,Борис Пастернак,Воздушные пути
399,Василий Шукшин,Калина красная
400,Алексей Толстой,Граф Калиостро
401,Уилки Коллинз,Мертвая комната
402,Ирина Одоевцева,Елисейские Поля
403,Ирина Одоевцева,"Романы, рассказы"
404,Анатолий Рыбаков,Кортик
405,Анатолий Рыбаков,Бронзовая птица
406,Анатолий Рыбаков,Выстрел
407,Анатолий Рыбаков,Водители
408,Юлиан Семенов,Противостояние
409,Юлиан Семенов,Романы
410,Александр Солженицын,Бодался телёнок с дубом
411,Александр Солженицын,Очерки литературной жизни
412,Лев Толстой,Комлект из 2-х книг
413,Антон Чехов,Избранное
414,Антон Чехов,В рождественскую ночь
415,Антон Чехов,Рассказы
416,Александр Пушкин,Повести
417,Александр Пушкин,Драматические произведения
418,Николай Лейкин,От него к ней и от нее к нему
419,Николай Лейкин,Веселые рассказы
420,Елена Гуро,Небесные верблюжата
421,Елена Гуро,Избранные произведения
422,Иван Тургенев,Накануне
423,Вера Калицкая,Моя жизнь с Александром Грином
424,Вера Калицкая,Воспоминания
425,Вера Калицкая,Очерки
426,Вера Калицкая,Письма
427,Иван Шмелев,Богомолье
428,Максим Горький,Дачники
429,Николай Гоголь,Россия
430,Николай Гоголь,Путь истины
431,Николай Гоголь,Философская проза
432,Константин Симонов,Солдатами не рождаются
433,Георгий Шилин,Прокаженные
434,Георгий Шилин,История лепрозория
435,Слово о полку Игореве. Избранные переводы,
436,Викентий Вересаев,Без дороги
437,Викентий Вересаев,В тупике
438,Иван Шмелев,Старый Валаам
439,Александр Полещук,Падает вверх
440,Дмитрий Фурманов,Мятеж
441,Николай Брешко-Брешковский,Сокровища Алмаз-Хана
442,Николай Брешко-Брешковский,"Женщины, кровь и бриллианты"
443,Николай Брешко-Брешковский,В 2 томах
444,Василий Ян,Лучшие исторические романы в одном томе
445,Николай Лейкин,Медные лбы
446,Николай Лейкин,Картинки с натуры
447,Петр Орловец,Клады великой Сибири
448,Борис Васильев,Завтра была война
449,Варлам Шаламов,Собрание шести циклов в одном томе
450,Агата Кристи,Вечеринка в Хэллоуин
451,Фрэнсис Бёрнетт,Таинственный сад
452,Юрий Казаков,Долгие крики
453,Виль Липатов,И это все о нем
454,Владимир Набоков,Истинная жизнь Севастьяна Найта
455,Владимир Арсеньев,В горах Сихоте-Алиня
456,Сергей Дурылин,"От ""Дон-Жуана"" до ""Муркина вестника ""Мяу-мяу"""""
457,Александр Грин,Продавец счастья
458,Александр Грин,Сборник
459,Василий Ардаматский,Ленинградская зима
460,Альбер Камю,Посторонний
461,Николай Гоголь,Записки сумасшедшего
462,Василий Комаровский,Сиреневая ночь
463,Василий Комаровский,Стихотворения и проза
464,Дмитрий Алешин,Азиатская одиссея
465,Пантелеймон Романов,Рассказы
466,Лев Брандт,Браслет Второй
467,Лев Брандт,Пират
468,Лев Брандт,Повести и рассказы
469,Алексей Толстой,Том 2
470,Николай Лесков,Обойденные
471,Виктор Михайлов,Под чужим именем
472,Петр Ширяев,Внук Тальони
473,Лидия Чарская,Белые пелеринки
474,Николай Брешко-Брешковский,Кровь Гогенцоллернов
475,Алексей Масаинов,Легенды Океании
476,Алексей Масаинов,"Рассказы, поэзия, очерки"
477,Николай Рерих,Меч Гессар-хана и другие сказания
478,Федор Достоевский,Ранняя проза
479,Федор Достоевский,Двойник
480,Федор Достоевский,Неточка Незванова
481,Иван Тургенев,Дым
482,Сергей Бородин,Дмитрий Донской
483,Александр Пушкин,Полное собрание прозы в одном томе
484,Федор Достоевский,Бобок
485,Алексей Толстой,Петр I
486,Алексей Толстой,Том 1
487,Николай Лесков,На ножах
488,Николай Лесков,Соборяне
489,Николай Лесков,Очарованный странник
490,Николай Лесков,Полное издание
491,Юлиан Семенов,Межконтинентальный узел
492,Николай Лейкин,Гуси лапчатые
493,Николай Лейкин,Юмористические картинки
494,Леонид Андреев,Иуда Искариот
495,Вера Крыжановская,Законодатели
496,Вера Крыжановская,Маги
497,Вера Крыжановская,Эликсир жизни
498,Лев Толстой,"Ходите в свете, пока есть свет"
499,Лидия Чарская,Гимназисты
500,Иван Бунин,Чистый понедельник
501,Антон Чехов,Большое собрание юмористических рассказов в одном томе
502,Николай Гоголь,Повести
503,Андрей Белый,Московский чудак
504,Андрей Белый,Москва под ударом
505,Михаил Агеев,Роман с кокаином
506,Сергей Заяицкий,Псы господни
507,Сергей Заяицкий,Повесть о Джордано Бруно
508,Александр Амфитеатров,Марья Лусьева
509,Александр Амфитеатров,Марья Лусьева за границей
510,Петр Павленко,Баррикады
511,Зинаида Гиппиус,Чертова кукла
512,Петр Дудоров-Орловец,"Приключения Карла Фрейберга, короля русских сыщиков"
513,Петр Павленко,Русская повесть
514,Сергей Заяицкий,Красавица с острова Люлю
515,Феоктист Березовский,Бабьи тропы
516,Алексей Толстой,Царь Иван Грозный
517,Алексей Толстой,Избранные сочинения
518,Николай Гоголь,Духовная проза
519,Григорий Данилевский,Княжна Тараканова
520,Михаил Каратеев,Возвращение
521,Владимир Даль,Казак Луганский
522,Владимир Даль,"Повести, рассказы, очерки"
523,Всеволод Крестовский,Уланы Цесаревича Константина
524,Лев Толстой,О жизни
525,Лидия Чарская,Лишний рот
526,Александр Колпаков,Гриада
